Part Num,Gender,Age,Reside,Student,N4U1,N4U2,N4U3,N4U4,N4U5,N4U6,N4U7,N4U8,N4U9,N4U10,N4U11,N4U12,N4U13,N4U14,N4U15,N4U16,N4U17,N4U18,N4U19,N4U20,N4U21,N4U22,N4U23,N4U24,N4U25,N4U26,N4U27,N4U28,N4U29,N4U30,N4U31,N4U32,N4UTOT,N4U-1,N4U-2,N4U-3
1,2,18,2,1,2,2,2,2,2,2,3,2,2,2,2,4,4,3,2,1,2,4,2,4,2,2,2,2,2,2,2,2,3,2,4,2,76,36,29,11
2,1,23,1,2,4,2,4,5,2,4,5,2,4,4,2,3,3,4,2,4,2,4,4,4,3,4,4,4,4,4,4,2,2,3,2,4,108,46,42,20
3,2,19,2,1,1,2,2,3,2,1,2,4,1,1,3,4,4,1,1,2,2,1,1,2,3,2,4,1,5,3,2,1,2,1,1,1,66,34,18,14
4,2,24,1,2,2,1,2,5,4,1,3,2,2,3,4,2,5,2,4,3,2,1,2,2,3,3,4,4,2,3,4,2,2,2,2,2,85,42,26,17
5,1,30,1,1,5,4,5,5,4,5,4,2,5,5,4,4,5,5,4,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,149,69,54,26
6,2,27,1,2,2,1,2,3,4,2,4,2,2,4,2,2,4,2,4,4,4,4,4,2,4,2,5,2,4,5,2,4,5,3,2,4,100,45,37,18
7,1,27,1,1,2,1,2,3,4,3,4,2,1,4,2,2,4,2,1,2,2,4,3,4,2,4,4,3,4,3,2,3,2,2,2,3,86,39,33,14
8,2,19,2,1,1,2,2,4,3,1,3,2,4,3,2,3,4,2,3,3,2,2,4,2,3,4,4,2,3,4,3,2,4,4,3,4,92,46,32,14
9,1,20,1,1,1,1,2,3,2,1,5,1,4,3,2,2,4,2,2,2,3,1,1,4,4,2,2,1,2,3,4,2,3,2,1,2,74,35,30,9
10,2,18,2,1,4,4,4,3,4,2,4,2,5,4,4,1,5,3,4,5,2,1,3,2,3,5,5,4,5,4,5,4,4,4,2,2,113,57,32,24
11,2,18,1,1,5,1,2,2,5,4,3,5,1,2,5,3,5,4,1,4,1,1,1,5,3,5,5,5,5,5,5,2,5,3,1,5,109,47,37,25
12,1,32,2,1,2,2,4,5,3,1,1,1,2,4,2,3,3,4,4,4,2,1,1,5,5,2,2,3,3,4,4,2,4,2,4,3,92,40,35,17
13,1,25,1,2,1,3,1,5,4,3,5,1,2,4,2,3,3,3,2,2,2,3,3,2,2,3,1,2,2,3,2,1,3,4,1,3,81,34,37,10
14,2,27,1,2,3,2,3,3,3,1,4,2,2,3,5,2,4,3,4,3,4,2,4,2,2,3,3,2,2,4,3,3,3,2,3,2,91,48,27,16
15,2,28,1,2,2,2,2,4,2,1,3,1,2,4,3,5,3,1,3,3,2,3,2,2,3,4,4,3,3,3,3,2,4,2,2,3,86,41,30,15
16,1,26,2,1,2,2,2,4,3,2,4,3,2,4,2,3,2,2,3,4,2,3,3,3,3,2,4,2,3,4,4,3,3,2,2,3,90,40,33,17
17,1,38,1,2,1,3,2,3,5,1,5,5,5,5,2,4,1,1,4,1,3,1,3,5,5,5,1,1,4,5,5,1,3,3,1,3,97,46,35,16
18,2,23,2,2,2,1,3,2,3,3,5,4,2,2,1,3,5,1,2,1,3,1,3,5,4,3,3,1,3,5,3,3,3,3,2,3,88,43,32,13
19,1,25,1,2,4,1,2,3,4,1,3,1,3,1,3,2,4,2,1,1,3,2,4,2,3,2,2,2,2,4,3,3,4,3,3,4,82,43,28,11
20,2,20,1,1,5,1,2,4,3,1,3,1,1,1,1,1,5,1,1,1,3,1,3,1,1,2,1,1,1,1,2,1,2,1,1,1,55,28,17,10
21,1,26,1,1,2,2,5,3,4,1,2,2,2,4,2,2,4,2,4,4,4,3,4,5,3,2,2,2,4,5,4,4,4,4,4,2,101,50,33,18
22,2,40,2,1,4,3,3,4,3,1,3,4,2,4,4,3,5,2,2,1,2,1,3,3,4,4,4,4,4,4,4,4,4,3,1,4,101,49,33,19
23,2,32,1,2,2,1,3,4,3,1,5,4,1,4,3,2,5,2,1,4,4,1,2,4,1,3,1,2,1,4,4,2,5,2,1,1,83,39,30,14
24,1,21,1,1,2,2,4,4,2,1,4,1,2,2,2,2,4,2,4,4,1,2,1,2,3,3,2,2,3,4,2,2,2,2,1,2,76,34,26,16
25,1,24,1,2,4,3,4,4,4,1,3,1,5,4,1,2,4,4,5,4,1,3,3,4,3,4,4,3,2,2,2,5,4,3,3,3,102,47,36,19
26,2,22,1,1,2,2,2,3,3,1,5,1,3,4,3,2,3,2,3,3,3,1,4,3,3,4,2,2,4,3,3,2,2,1,2,3,84,41,28,15
27,1,18,2,1,4,3,2,3,1,2,3,5,3,2,2,2,1,3,2,2,3,2,3,5,4,2,4,5,4,1,4,3,3,2,1,4,90,35,33,22
28,1,23,1,2,4,2,2,5,3,2,5,3,4,3,4,4,4,4,4,5,4,5,4,2,4,4,5,4,4,4,4,3,4,4,2,2,117,53,40,24
29,2,33,1,2,2,2,3,5,1,2,5,4,3,4,5,4,1,2,2,4,5,1,3,3,3,5,3,3,2,4,3,2,1,4,2,3,96,46,33,17
30,1,35,2,2,5,2,4,5,1,5,2,1,3,5,5,2,3,5,3,4,3,4,5,5,4,1,4,5,5,5,4,5,4,3,2,3,117,49,45,23
31,1,50,2,2,3,4,2,5,4,4,4,2,4,4,4,2,4,3,2,4,4,2,3,2,4,4,4,4,4,4,4,4,4,4,3,3,112,54,39,19
32,3,26,1,2,5,2,1,5,4,3,5,1,1,5,2,3,3,5,3,3,3,5,3,5,3,3,3,3,3,5,3,1,5,3,3,4,106,40,48,18
33,2,52,2,2,2,2,4,2,4,2,4,2,2,4,4,4,4,3,2,2,4,2,4,2,2,4,4,4,4,4,4,3,4,2,2,4,100,53,31,16
34,2,23,2,2,2,4,2,5,3,2,5,1,4,2,3,2,5,1,4,4,2,1,3,4,2,3,2,2,2,2,3,3,4,3,2,2,89,43,31,15
35,1,23,2,2,3,4,2,4,3,2,5,1,4,3,3,3,3,2,3,4,4,4,3,4,4,3,3,4,4,4,3,4,5,3,2,3,106,48,39,19
36,2,21,1,1,5,3,3,4,4,1,5,1,5,4,5,2,5,3,4,3,4,1,5,1,2,5,5,4,4,5,5,4,1,4,4,4,115,64,30,21
37,2,32,1,2,2,3,5,4,4,1,4,1,3,4,4,2,3,3,4,3,3,2,4,4,3,3,4,2,3,2,4,4,2,3,4,3,100,52,33,15
38,2,43,2,2,3,4,3,2,4,1,4,4,4,4,4,2,4,4,2,4,4,1,4,4,3,4,4,2,2,4,3,2,4,4,2,3,103,52,34,17
39,2,27,2,2,2,2,3,4,4,1,5,1,1,3,4,2,3,3,1,2,3,3,4,3,2,4,4,1,3,4,4,2,3,3,2,3,89,46,33,10
40,1,40,2,2,3,2,3,5,2,3,4,1,2,5,3,2,4,4,4,2,4,2,5,4,5,4,3,3,2,5,4,2,5,3,3,4,107,48,44,15
41,1,31,1,2,3,1,2,3,2,1,3,1,2,3,2,2,2,2,4,4,4,2,4,4,4,4,4,4,2,4,4,3,2,2,2,3,89,42,29,18
42,1,18,1,1,1,2,1,5,2,2,3,1,3,4,1,3,4,1,4,1,2,1,3,4,4,3,4,2,4,3,2,3,4,3,1,3,84,37,34,13
43,2,22,1,1,1,2,2,5,4,1,2,4,2,2,1,3,4,2,1,2,2,1,2,2,3,4,3,2,4,4,3,2,2,1,2,2,77,40,23,14
44,1,18,2,1,4,3,2,3,4,1,3,1,2,4,2,4,3,1,3,3,2,4,3,2,3,2,3,2,2,4,2,1,3,3,2,2,83,39,29,15
45,2,23,1,1,4,2,3,3,3,2,5,3,3,3,5,4,4,4,5,4,3,4,1,4,4,4,4,4,3,4,5,4,5,3,3,4,116,52,41,23
46,1,27,2,2,2,4,3,5,3,2,4,2,2,4,2,3,3,2,3,3,3,1,4,3,3,4,3,2,3,3,3,3,3,2,2,2,91,45,31,15
47,1,21,1,1,2,2,2,5,4,1,4,4,4,5,2,3,4,5,4,4,2,3,5,4,3,4,4,3,3,5,4,4,4,4,4,4,115,53,42,20
48,1,18,1,2,5,1,2,4,2,2,2,2,2,3,2,4,4,2,2,2,2,3,1,2,3,2,2,1,4,3,2,2,2,2,2,2,76,33,27,16
49,1,22,2,1,3,3,4,5,3,1,3,1,1,5,3,4,5,3,2,5,2,3,4,4,5,4,4,4,5,4,4,4,4,4,3,2,111,52,39,20
50,2,30,1,2,4,3,2,4,4,1,5,3,5,4,3,1,5,4,4,4,2,1,3,1,4,5,5,4,5,4,5,5,4,2,3,1,110,55,31,24
51,2,32,2,1,1,1,2,3,4,1,3,3,2,3,2,2,4,2,3,4,1,1,1,3,4,3,3,3,4,4,5,3,3,3,2,3,86,39,29,18
52,1,19,1,1,1,5,5,3,4,3,5,1,5,4,2,3,4,4,3,4,1,3,3,3,4,5,5,2,4,4,5,5,5,3,2,5,115,58,42,15
53,2,65,2,2,2,3,2,2,4,1,5,2,2,4,2,4,5,1,2,2,2,1,1,4,3,4,2,2,2,2,4,2,5,2,2,2,83,41,30,12
54,2,22,1,1,3,4,5,5,3,1,1,4,3,5,1,4,3,2,3,3,4,5,5,4,4,5,3,5,2,5,4,3,4,4,4,3,114,56,38,20
55,1,18,1,1,5,2,2,1,2,1,4,1,3,3,4,3,4,4,4,4,2,5,1,5,4,4,1,4,4,4,4,4,4,2,4,4,103,44,37,22
56,1,18,1,1,2,4,1,4,2,1,5,1,1,1,1,1,5,2,1,2,1,5,1,5,1,1,1,1,3,1,1,1,1,1,1,3,62,23,29,10
57,2,19,1,1,1,1,4,1,4,1,5,3,4,2,2,3,5,3,2,2,1,1,1,2,2,5,5,1,2,5,4,2,5,2,2,2,85,48,26,11
58,2,44,1,2,4,2,2,4,4,5,4,5,4,4,3,4,2,2,3,3,4,3,1,4,4,3,3,3,4,4,4,5,2,4,3,4,110,48,40,22
